,SVM
0,0.9783405531489503
1,0.9750083305564812
2,0.9720093302232589
3,0.9723425524825058
4,0.9766666666666667
5,0.9763333333333334
6,0.9729909969989997
7,0.9736578859619873
8,0.9729909969989997
9,0.9786595531843948
