,GaussianNB
0,0.7178416242903596
1,0.6587529859113733
2,0.6765334147085749
3,0.6880131362889983
4,0.6779606086339376
5,0.6295171576070453
6,0.7161930903607313
7,0.7074385309679427
8,0.6906637822600801
9,0.6941084860333344
10,0.6863148479427549
11,0.7225725094577553
12,0.7009458361348178
13,0.6871707060063225
14,0.7189830099209407
15,0.6491228070175439
16,0.6929048742138365
17,0.6706031622096427
18,0.6628154503648094
19,0.678681142004044
20,0.7639851458885941
21,0.6668996325678156
22,0.7235973082949902
23,0.6701779400256482
24,0.6898607043242866
25,0.6676711289803008
26,0.6877028400671132
27,0.6858205870194295
28,0.6643271284711626
29,0.6827743758638651
30,0.6747510381067872
31,0.6613627090983272
32,0.6962233169129721
33,0.6736026111791105
34,0.6847156708595388
35,0.6880594032759879
36,0.7013695808876532
37,0.6824694453663074
38,0.7244182279460953
39,0.6473440273486293
40,0.692246671304263
41,0.6513080004541105
42,0.6776825785393717
43,0.7256951462477983
44,0.7309794031105508
45,0.6664961636828644
46,0.6765264675052411
47,0.6776825785393717
48,0.6679184637334163
49,0.6702352630187682
50,0.6963473614335132
51,0.6602583663920252
52,0.6910485933503836
53,0.6728337504703015
54,0.6813933729821581
55,0.679904093557713
56,0.6925170960494597
57,0.7180345125756609
58,0.6502700240744356
59,0.7451298221620002
60,0.704463524939372
61,0.6602583663920252
62,0.6690745049313991
63,0.6660807715787619
64,0.7286255832446283
65,0.6775372886020727
66,0.6875976257419556
67,0.6929048742138365
68,0.7175892085852882
69,0.6519414089746569
70,0.7142774490032069
71,0.7194408768407796
72,0.6888102725366876
73,0.6824694453663074
74,0.6769233285894227
75,0.6783722769194209
76,0.6783722769194209
77,0.6706031622096427
78,0.6793765106299019
79,0.673795868023435
80,0.695589764501988
81,0.7193881824730697
82,0.7356672932330828
83,0.6769233285894227
84,0.6568851709038624
85,0.6640818507066423
86,0.6791609957861782
87,0.632888337207274
88,0.678396378498966
89,0.7153498636354173
90,0.6966617574864997
91,0.6376151432331207
92,0.683987458639535
93,0.669321678120597
94,0.6854780733285406
95,0.7155858930602957
96,0.6869565217391305
97,0.6917081832979824
98,0.7060479597244302
99,0.6768240695195934
